,en,ko,Results_baseline_enko,Results_baseline_koen
235,He has a rather devil-may-care attitude toward his studies.,그는 자신의 학업에 대해 다소 될대로 되라 식의 태도를 가지고 있습니다.,그는 자신의 학업에 대해 다소 악마주의적인 태도를 가지고 있다.,He has a kind of attitude toward his studies to be done as much as possible.
236,The American Petroleum Institute is clearing the decks for setting up many huge new projects around the globe.,미국석유연구소는 전세계적으로 많은 거대한 신규 프로젝트를 설립하기 위해 덜 중요한 일이나 방해되는 일들을 정리하고 있습니다.,미국 석유연구소는 전 세계적으로 큰 새로운 프로젝트를 많이 세우기 위한 데크를 정리하고 있다.,The U.S. Petroleum Research Institute is organizing less important or obstructing things to establish many huge new projects around the world.
237,The party leader believed that the 50-year-old sitting legislator was still a safe bet for reelection.,그 당 대표는 50세의 현직 국회의원이 틀림없이 재선할 것라고 믿었습니다.,당대표는 50세 현역의원이 여전히 재선에 안전한 베팅이라고 봤다.,The party leader believed that a 50-year-old incumbent lawmaker would definitely be re-elected.
238,"It's so cold, I'll probably catch a cold. ",너무 추워서 감기 걸릴 것 같다.,너무 추워서 아마 감기에 걸릴 것 같아요.,It's so cold that I think I'll get a cold.
239,"Although “chicken-hearted” is mostly used as an insult, it can also be used in a friendly way when teasing someone.","두려움은 대부분 모욕으로 사용되지만, 누군가를 놀릴 때 친근하게 사용될 수도 있습니다.","‘치킨 ’은 주로 모욕으로 사용되지만, 누군가를 조롱할 때도 친근한 방식으로 사용될 수 있다.","Fear is mostly used as insults, but it can be used familiarly when talking about someone."
240,We’ll be here till doomsday if you go blathering on.,당신이 계속 지껄여대면 우리는 영원히 여기 있을 겁니다.,당신이 무너뜨릴 경우 우리는 영원히 이곳에 있을 거예요.,"If you keep talking, we will be here forever."
241,One day she’s going to be a doctor; the next she wants to study architecture. She’ll have to stop chopping and changing and make up her mind.,"그녀는 언젠가는 의사가 될 것이고, 다음에는 건축학을 공부하고 싶어합니다. 그녀는 이리저리 마음을 바꾸는 것을 멈추고 마음을 정해야 할 것입니다.","어느 날 그녀는 의사가 되고, 다음 날 그녀는 건축을 공부하고 싶어 할 것입니다. 그는 붓고 바꾸는 것을 멈추고 마음을 만들어야 할 것이다.","She will become a doctor someday, and next time she wants to study architecture. She will have to stop changing her mind and decide her mind."
242,The president exuded confidence as he talked about his regime's down the road.,대통령은 자신감을 풍기며 그가 이끄는 정권의 장래에 대해 언급했다.,대통령은 자신의 정권 하행에 대해 이야기하면서 자신감을 내뿜었다.,The president expressed confidence and mentioned the future of his regime.
243,They live just down the road.,그들은 바로 이 도로 아래쪽에 산다.,그들은 그 길 바로 아래쪽에 살고 있어요.,They live below this road.
244,The British had been dragging their feet concerning a single European currency.,영국은 단일 유럽 통화에 대해 질질 끌고 있었습니다.,영국은 유럽 단일 화폐에 대해 발을 끌고 있었다.,The UK has been striving for a single European currency.
245,"Taxpayers are no longer supporting the organizations. Therefore, the organizations must now cut their coats according to the cloth.",납세자들은 더 이상 해당 조직을 지원하지 않습니다. 그러므로 조직은 이제 분수에 맞게 살아야 합니다.,"납세자들은 더 이상 조직을 지지하지 않기 때문에, 조직들은 이제 옷에 따라 코트를 잘라야 한다.","Taxpayers no longer support the organization, so the organization should now live in a fraction."
246,"Of course we'd love a huge expensive house, but you have to cut your coat according to your cloth.","물론 아주 비싼 집이 좋기야 하지만, 그래도 뱁새가 황새 따라가면 가랑이 찢어진다.","물론 우리는 거대한 비싼 집을 원하지만, 당신은 옷에 따라 외투를 잘라야 해요.","Of course, a very expensive house is good, but still, when the cockles follow, they are torn."
247,City's season is rapidly turning into a damp squib.,맨시티의 시즌은 급격히 망해가고있다,도시의 계절이 급격히 은 스쿼리로 바뀌고 있다.,Manchester City's season is rapidly going down.
248,The party turned out to be a bit of a damp squib. Half the people who’d been invited didn’t turn up.,파티는 영 재미 없는 것으로 판명되었습니다. 초대받은 사람의 절반이 나타나지 않았습니다.,"그 파티는 조금 한 스쿼리로 판명났고, 초대받은 사람들 중 절반은 나오지 않았다.",The party was found to be not fun. Half of the invited people did not appear.
249,Older workers often get a raw deal.,나이가 많은 직원들은 흔히 부당한 대우를 받는다.,노인 근로자들은 종종 원거래를 받는다.,Older employees are often treated unfairly.
250,They are making every effort possible to dig up dirt on the opposing contender.,그들은 상대 경쟁자의 부정부패를 파헤치기 위해 가능한 모든 노력을 기울이고 있습니다.,상대 경쟁자에 대한 흙을 캐기 위해 모든 노력을 기울이고 있다.,They are making all possible efforts to uncover the corruption of their opponent.
251,The enemy caught our army napping.,적은 우리가 방심하고 있던 곳을 습격했다.,적들이 우리 군을 쫓았습니다.,The enemy attacked the place where we were quiet.
252,"So in the United States, only the federal government can coin money.","미국에서, 단지 연방정부만이 돈을 만들수 있죠.",그래서 미국에서는 연방 정부만이 동전을 동전으로 만들 수 있다.,"In the United States, only the federal government can make money."
253,"What I said was not true, but he fell for it hook, line and sinker.","내가 한 말은 사실이 아니었는데, 그는 곧이곧대로 믿었다.","내가 말한 것은 사실이 아니었지만, 그는 그 걸 후크, 라인, 싱크러로 떨어뜨렸다.","The words I said were not true, but he believed in the same way."
254,"Sally was popular and successful. She was nearly fifty before she learned that she, too, had feet of clay.","샐리는 인기가 있고 게다가 성공도 하였다. 그녀가 자신에게도 약점이 있다는 것을 안 것은, 그녀가 오십이 가까이 되었을 때였다.","슬리는 인기 있고 성공했고, 그녀 역시 클레이 발이 있다는 것을 알게 되기 50살 가까이 전이었다.",Sarah was popular and also successful. It was when she was nearly 50 years old that she knew she had weaknesses.
255,But does it have an ace up its sleeve?,하지만 그것은 비장의 무기를 가지고 있는가?,하지만 그 소매에 에이스가 있나요?,But does it have a splendid weapon?
256,The rule has to cut both ways.,룰은 어느 쪽에나 똑같이 적용되니까.,그 규칙은 두 가지 방법을 모두 잘라야 합니다.,The rules are applied equally to any side.
257,I can't leave a child that is hungry and crying out in the cold.,나는 배고파하며 울고 있는 아이를 냉대 할 수 없다.,배고프고 울고 있는 아이를 추위 속에 놔두면 안 됩니다.,I can't treat a child crying hungry and hungry.
258,He is the pest to his classmates. or He is left out in the cold by his classmates.,그는 급우들한테 따돌림을 받고 있다,그는 학급 친구들에게 해로운 사람이거나 학급 친구들에게 감기에 빠져버린다.,He is being bullied by his juniors.
259,He always says he’ll help but when it comes to the crunch he does nothing.,그는 항상 도와주겠다고 말하지만 때가 되면 아무것도 하지 않는다.,"그는 항상 도와줄 것이라고 말하지만, 감쇠에 대해서는 아무것도 하지 않는다.","He always says he will help, but he doesn't do anything when it's time."
260,It'll be like boiling the ocean. Don't even try.,그건 완전 불가능한 일이야. 시도 조차 하지마.,바다가 끓는 것과 같을 거예요. 시도하지 마세요.,That's completely impossible. Don't even try.
261,"When parents fight over trivial matters, their children are often caught in the crossfire.",부모가 사소한 문제로 다투면 자녀에게 불똥이 튀는 경우가 많습니다.,사소한 문제를 놓고 부모가 다투면 자녀들이 교차사격에 휘말리는 경우가 많다.,"When parents argue about minor issues, there are many cases where the children are caught up."
262,We are going around in circles. It's such a waste of time.,우리는 계속 개미 쳇바퀴 돌 듯 돌고 있다. 이는 시간낭비이다.,우리는 원으로 돌고 있어요. 너무 시간 낭비입니다.,"We continue to go around like an ant's wheel, which is time waste."
263,A blast of hot air hit us as we stepped off the plane.,우리가 비행기에서 내려서는데 훅 더운 바람이 끼쳤다.,비행기에서 내리자 뜨거운 공기의 폭발이 우리를 강타했어요.,"When we got off the plane, there was a hot wind."
264,He's full of hot air.,그가 하는 얘기는 모두 허풍이다.,그는 뜨거운 공기로 가득 차 있습니다.,All of his words are absurd.
265,He played ducks and drakes with money without thinking.,그는 무분별하게 돈을 낭비했다.,그는 생각하지 않고 돈으로 오리와 드래크를 놀았습니다.,He wasted money indiscriminately.
266,I’m not sure what I’ll do when the chips are down.,막상 일이 닥치면 내가 어떻게 할지는 확실히 모르겠다.,제가 칩이 내려가면 어떻게 할지 모르겠네요.,I don't know what to do when I get a job.
267,Don't mention the chink in my armor.,나의 약점을 거론하지 마라.,제 갑옷에 있는 을 언급하지 마세요.,Don't mention my weakness.
268,She has taken to teaching like a duck to water.,그녀는 아주 수월하게 교직에 익숙해졌다.,그녀는 물속에서 오리처럼 가르치는 일을 하게 되었습니다.,She became very easily accustomed to the teaching profession.
269,Don't embarrass when they ask something and keep your pants on.,그들이 무엇을 물어볼 때 당황하지 말고 침착하라.,어떤 것을 물어보면 당황하지 말고 바지를 착용하세요.,Don't be embarrassed when they ask something and calm down.
270,The drunken man was bent out of shape.,그 술 취한 사람은 고주망태였다.,술에 취한 남자는 모양이 꺾여 있었다.,The drunk person was Go Ju-man-tae.
271,The knives were bent out of shape.,그 칼들은 구부러져 모양이 일그러져 있었다.,칼날이 모양 없이 구부러졌다.,The swords were bended and shaped deformed.
272,Why are you getting bent out of shape over nothing?,아니 그깟 걸 가지고 화를 내고 그래?,왜 아무것도 안 하고 구부러져요?,"No, do you get angry with that?"
273,"In the competition among the salespeople, she came out as top dog.",판매원 사이의 경쟁에서 그 여자가 최고의 승자가 되었다.,영업사원들 간의 경쟁에서 그녀는 톱견으로 나왔다.,The woman became the best winner in the competition between salesmen.
274,I can't take time on your problem. I have other fish to fry.,자네 문제에만 매달려 있을 수는 없단 말이야. 또 다른 중요한 할 일이 있으니까.,난 너의 문제에 시간을 줄 수 없어. 다른 생선을 튀릴 게 있어.,I can't focus only on your problem. I have another important task.
275,a consumer watchdog,소비자 감시 단체,소비자 감시기관 소비자 감시관.,Consumer monitoring group.
276,Don't booze around. Make a beeline for home.,술 마시고 돌아다니지 말고 곧장 집으로 오세요,주변에 술을 마시지 마세요. 집에서 뵈린을 만들어주세요.,Don't go around drinking alcohol and come home right away.
