Idioms,en,ko
,Everyone told me this idea was stupid. I didn't listen to them and stuck to my guns.,"모두 나에게 이 아이디어가 어리석다고 말했지만, 나는 그들의 말을 듣지 않고 내 주장을 고수했습니다."
,"Even though everyone makes fun of her friend at school, she always sticks up for her and stands by her side.","학교에서 모든 사람들이 그녀의 친구를 놀리지만, 그녀는 항상 그녀를 지지하고 그녀의 곁을 지킵니다."
,I was treated badly on the phone when I called the company about the problem I was having. I think their customer service department really stinks.,제가 회사에 전화했을 때 제가 전화로 문제를 제기했는데 고객 서비스 부서가 정말 엉망인 것 같아요.
,"Even though we all heard about John's accident, it was nice to hear about it from John himself. We finally heard it straight from the horse's mouth.","우리 모두 존의 사고 소식을 들었지만, 존 자신으로부터 그 소식을 듣게 되어 반가웠고, 결국 당사자에게 직접 듣게 되었습니다."
,He spent Saturday straightening out his clothing drawers and making everything neat.,그는 토요일에 옷 서랍을 정리하고 모든 것을 깔끔하게 정리하며 보냈습니다.
,Can you please buy my lunch today? I am strapped for money until payday next week.,오늘 점심 사주실 수 있나요? 다음 주 월급날까지 돈이 없어요.
,"He has been working very hard on his new business. It has been taking off, and he wants to strike while the iron is hot.","그는 자신의 새로운 사업을 위해 매우 열심히 노력해왔습니다. 사업이 급부상하고 있고, 기회를 활용하고 싶어합니다."
,"He became company president, but he had to marry the owner's daughter. There were strings attached.",사장이 됐지만 오너의 딸과 결혼해야 하는 등 구속적인 사정과 의무가 있었습니다.
,I am stuck on this math problem and I cannot figure it out.,"저는 이 수학 문제에 빠져 있고, 이 문제를 이해 할 수가 없다."
,We need to buy a lot of stuff for the party.,우리는 파티를 위해 많은 물건을 사야 합니다.
,"Ed is always serious, businesslike, and never wants to relax and have a good time. He is such a stuffed shirt.",에드는 항상 진지하고 사무적이며 결코 편안하고 즐거운 시간을 보내고 싶어하지 않습니다. 그는 격식을 차리는 사람입니다.
,I need to complete four reports by tomorrow. I am swamped with work.,내일까지 4개의 보고서를 작성해야 해요. 일이 너무 많아서요.
,The actress died after completing the role in this movie. This was her swan song.,그 여배우는 이 영화에서 배역을 마치고 죽었다. 이것은 그녀의 마지막 모습이였다.
,I didn't know how the interview would go and was very nervous. I was sweating bullets.,인터뷰 내용이 어떻게 될지 모르고 긴장을 많이 해서 땀이 많이 났어요.
,I feel bad for people who have to work in that chemical plant. I have heard it is like a sweatshop in there.,화학 공장에서 일하시는 분들이 안쓰러워요. 제가 듣기로는 공장의 업무 환경이 안좋다고 하더라고요.
,Your boss has said great things about you. She says that you are a swell guy.,당신의 상사가 당신에 대해 좋은 말을 했어요. 그녀는 당신이 훌륭한 사람이라고 말합니다.
,"Last year, everyone took a beating in the stock market.",작년에는 주식시장에서 모두들 타격을 입었습니다.
,"Even though you tried to fix the toy and couldn't, let me take a crack at it.","비록 당신이 그 장난감을 고치려고 노력했지만 못 고쳤더라도, 제가 한번 해볼게요."
,"Because I had a few days off work, I took advantage of all the time I had and read a few books.","나는 며칠 동안 일을 쉬었기 때문에, 내가 가진 모든 시간을 이용해 책을 몇 권 읽었다."
,I see that he takes after his dad in his ability to play basketball.,나는 그가 농구를 하는 능력이 아빠를 닮았다는 것을 안다.
,Everyone in school told her how ugly and stupid she was. She was unable to take it and eventually changed schools.,학교에 있는 모든 사람들이 그녀에게 얼마나 못생기고 멍청한지 말했습니다. 그녀는 괴롭힘을 견딜 수 없었고 결국 전학을 갔습니다.
,He took on a great challenge when he became the CEO of a bankrupt company.,그는 파산한 회사의 CEO가 되었을 때 큰 도전을 했습니다.
,I am very impressed that you actually had your book published. I take my hat off to you!,당신의 책이 출판되었다는 것이 정말 놀랍습니다. 당신에게 경의를 표합니다!
,"When the pilot became ill, the co-pilot had to take over the controls of the aircraft.","조종사가 병에 걸렸을 때, 부조종사는 항공기의 조종권을 넘겨받아야 했습니다."
,"When my car broke down for the third time, I realized that the car salesman really took me for a ride.","제 차가 세 번째로 고장이 났을 때, 저는 자동차 판매원이 정말로 저에게 사기를 치고 있다는 것을 깨달았습니다."
,Someone said that he stole money from the company. He's not going to take that lying down.,누군가 제가 회사 돈을 횡령 했다고 말합니다. 당하고 있지만은 않을 거에요.
,His parents spoke to him about improving his grades. I hope he took it to heart.,그의 부모님이 그의 성적 향상에 대해 말씀하셨습니다. 그가 그것을 마음에 새겼기를 바랍니다.
,"He needs more money, so he is going to take the bull by the horns and ask for a raise.","그는 돈이 더 필요하기 때문에, 강하게 행동으로 옮겨 월급을 올려달라고 요구할 것입니다."
,He asked the fat girl how much she weighed. She was embarrassed and took the Fifth.,그는 뚱뚱한 소녀에게 몸무게가 얼마인지 물었습니다. 그녀는 당황했고 헌법 수정 제5조에 의해 보장된 자신에 대한 증언을 거부합니다.
,"I realized I gained a lot of weight, so I finally took the plunge and decided to seriously go on a diet.","저는 제가 살이 많이 쪘다는 것을 깨달았고, 결국 저는 결단을 내렸고 진지하게 다이어트를 하기로 결정했습니다."
,I was just going to say that he was a liar. You took the words right out of my mouth.,저는 그가 거짓말쟁이라고 말하려고 했습니다. 당신은 제가 하려고 했던 말을 하네요.
,She plans to take up golf next summer.,그녀는 내년 여름에 골프를 취미로 시작할 계획입니다.
,He told me that he got all A's in college. I don't believe him. You should take it with a grain of salt.,대학에서 A 학점을 다 받았다고 그러더라고요. 저는 그 사람 말을 못 믿겠어요. 넌 그 말을 회의적으로 받아들여야해.
,"She's always talking about how much she is investing in the stock market, but I think she is talking through her hat.","그녀는 항상 주식시장에 얼마나 투자하고 있는지에 대해 이야기하지만, 저는 그녀가 자신의 생각을 과장해서 말하고 있다고 생각합니다."
,"If you are really serious about buying my car, let's talk turkey.","정말로 내 차를 사는 것이 진심이라면, 진지하게 얘기 해봅시다."
,The movie we saw last night was a real tearjerker.,우리가 어젯밤에 본 영화는 정말 눈물을 글썽이는 영화였습니다.
,"Whenever she becomes too arrogant, it is time to tell her off.",그녀가 너무 거만해지면 언제든지 그녀를 꾸짖어야 할 때입니다.
,The theme for this year's party will not work. We need to think up a new idea.,올해 파티 주제가 안 될 것 같아요. 새로운 아이디어를 생각해 봐야 해요.
,"When I returned home from my date, my roommate wanted to know everything that had happened and gave me the third degree.","제가 데이트를 마치고 집에 돌아왔을 때, 룸메이트는 일어난 모든 일을 알고 싶어했고 저에게 장시간에 걸친 심문을 했습니다."
,I heard through the grapevine that you are pregnant. Is that true?,당신이 임신했다는 소식을 들었거든요. 사실인가요?
,She's had a difficult life. She's been put through the mill.,그녀는 힘든 삶을 살아왔어요. 공장에서 고생했어요.
,"I really don't want to throw cold water on your business proposal, but I really don't think that it is a good idea.","당신의 사업 제안에 찬물을 끼얹고 싶지는 않지만, 좋은 아이디어 라고 생각하지 않습니다."
,"When he realized that there was no way he was going to finish the race, he finally threw in the towel.","그는 경주를 끝낼 방법이 없다는 것을 깨달았을 때, 마침내 포기했습니다."
,"Because she was the boss's daughter, she liked throwing her weight around the office and telling everyone what to do.",상사의 딸이었기 때문에 그녀는 사무실을 돌아다니며 모두에게 말하는 것을 좋아했다.
,They have a lot of evidence against that criminal. They are going to throw the book at him at the trial.,그들은 그 범죄자에게 불리한 많은 증거를 가지고 있습니다. 그들은 재판에서 그에게 법을 어긴 죄로 엄중히 처벌할 겁니다.
,She is two-faced.,그녀는 양면적이다.
,She was paid under the table and continued to collect her unemployment checks illegally.,그녀는 급여를 지급받았고 계속해서 불법적으로 실업 수표를 모았다.
,I am beginning to feel under the weather.,조금 몸이 안 좋아지고 있다.
,"I'm going to the art museum on Sunday. I know you love to paint, so this is right up your alley.",일요일에 나는 미술 박물관에 갈 거예요. 당신이 그림 그리는 걸 좋아하니까 여기가 딱 맞아요.
,"The judge found him guilty, and he was sent up the river for 5 years.",판사는 그를 유죄로 인정하고 5년간 복역하게 했다.
,My phone bills are always so high. I am just up to here with them.,내 휴대폰 요금은 항상 매우 비싸요. 나는 진짜 지치겠어요.
,I have a lot of folders sitting on my desk. I am up to my ears in paperwork.,책상 위에 폴더가 잔뜩 놓여 있어서 서류 작업에 열중하고 있습니다.
,I have a headache and don't feel up to par.,머리가 아파서 기분이 좋지 않아요.
,"Because it is her birthday, it is up to her what kind of birthday cake to buy.",그녀의 생일이기 때문에 어떤 생일 케이크를 사느냐는 그녀에게 달려있습니다.
,Our plans are perfect. Don't discuss them with anyone. We don't want to upset the applecart.,우리 계획은 완벽해. 아무에게도 이야기하지 마. 우리는 상황을 어지럽히고 싶지 않아.
,He wasn't using his noodle when he offered to stay and clean up the mess.,"그가 남아서 그 지저분한 것들을 치우겠다고 했을때, 그는 전혀 생각하지 않았어."
,"He loves her so much, and she walks all over him.",그는 그녀를 너무 사랑하지만 그녀는 그를 무시해.
,"If he lies or hurts you, you should wash your hands of him.","그가 거짓말을 하거나 당신을 다치게 한다면, 당신은 그에게서 손을 떼야 합니다."
,"Since he was arrested, his movie career is all washed up.","그가 체포된 이후로, 그의 영화 경력은 모두 물거품이 되었습니다."
,I have told her that she should stop smoking a thousand times. Don't even mention it to her; you'll be wasting your breath.,나는 그녀에게 흡연을 그만두라고 천 번 이야기했어. 그녀에게도 그것에 대해 언급하지 마; 그녀한테 기운을 낭비하게 될 거야.
,"If you are having dinner with your boss, you have to watch your P's and Q's.","만약 상사와 저녁 식사를 하게 된다면, 너는 언어와 태도에 주의해야 해."
,The coffee is too strong. I think you need to water it down.,커피가 너무 진해. 조금 묽게 해야 할 것 같아.
,She makes all the big decisions when it comes to finances. We all know who wears the pants in that family.,재정 문제에 관해서는 그녀가 모든 중요한 결정을 내린다. 그 가족에서 누가 대장인지 우리 모두 알아.
,"I know you want to buy my car. If your offer is within reason, then it's a deal.","당신이 내 차를 사고 싶어하는 것을 압니다. 당신의 제안이 합당하다면, 거래합시다."
,A true friend is someone who is always there when the chips are down.,진정한 친구란 돈이 바닥났을 때 항상 곁에 있는 사람입니다.
,"The boss's son doesn't believe his father should pay anyone overtime, but when he can work extra hours, he whistles a different tune.","사장의 아들은 누구에게도 야근 수당을 주지 말아야 한다고 생각하지만, 그가 추가 근무 할 수 있는 경우에는 다른 얘기를 해."
,My sister became as white as a ghost when she saw the man at the window.,내 여동생은 창문에 있는 남자를 보고 귀신같이 하얗게 질렸다.
,I told my boss a white lie and said that I was sick yesterday when I actually wasn't.,나는 상사에게 선의의 거짓말을 하고 어제는 아프다고 했는데 사실은 그렇지 않았어요.
,"She did not want the police to find her boyfriend, so she gave them false information and sent them on a wild goose chase.","그녀는 경찰이 그녀의 남자친구를 찾는 것을 원하지 않았고, 그래서 그녀는 그들에게 거짓 정보를 주었고 그들을 보냈다."
,Some people say you need a lot of will power to quit smoking.,어떤 사람들은 담배를 끊으려면 강한 의지력이 필요하다고 말합니다.
,He never speaks up for himself. He is such a wimp.,그는 절대로 자신을 대변하지 않습니다. 그는 정말 약삭빠릅니다.
,"It's getting late, and I want to finish this project and go home. Let's wind things up.","시간이 늦어지고 있는데, 이 프로젝트를 끝내고 집에 가고 싶어요. 마무리 짓도록 하죠."
,"They asked me to make a speech, but I did not prepare anything, so I just winged it.","그들은 나에게 연설을 해 달라고 했지만, 아무 것도 준비하지 않았으니 그냥 내 맘대로 해야겠어."
,"He is not very nice, so don't be surprised if he makes a wisecrack about your clothes.",그는 매우 불친절해.  그가 당신의 옷에 대해 농담을 해도 놀라지 마세요.
,He never has his own opinion. He is very wishy-washy.,그는 항상 자신의 의견을 가지지 않아. 그는 확고하지 않은 사람이에요.
,She passed her course with flying colors and now wants to go out and celebrate.,그녀는 점수 좋게 이 수업을 통과했고 이제 축하하러 나가고 싶어해.
,This problem can't seem to be worked out.,이 문제는 해결하기 어려운 것 같아.
,She comes from a wealthy family. Her parents did not want her to marry anyone from the wrong side of the tracks.,그녀는 부유한 가문에서 왔어. 그녀의 부모는 가난한 집에서 온 사람과 결혼하길 원치 않았어.
,We're going to visit your aunt tomorrow and there'll be no buts about it.,우리 모두 내일 이모 집에 놀러 갈거야 예외는 없어.
,Some babies yell bloody murder if their mothers leave them with babysitters.,어떤 아기들은 엄마가 아기를 유모에게 맡긴다면 화들짝대며 소리 지릅니다.
,"I don't know if I want to go to the gym. No buts, we're going!.","운동하러 가고 싶지 않은 것 같은데. 토 달지 마, 우린 갈거니까."
,No buts about it - you're starting it tonight.,"토 달지 마, 오늘 밤에 시작 할 거야."
,I want that bedroom cleaned today and there'll be no buts about it.,오늘 방 청소 할거야 예외는 없어.
,"We're leaving now. No buts, come on!",지금 떠날거야. 토 달지 말고 일어나!
,The industry needs more investment across the board.,그 산업 전반에 걸쳐 더 많은 투자가 필요하다.
,That company increased the employees' salary across the board by 5 percent.,그 회사는 직원의 연봉을 일괄적으로 5 퍼센트 인상했다.
,"Three of our players were sick , and to make matters worse, our main scorer had broken his ankle.","우리 선수 중 세 명이 몸이 안 좋았고, 설상가상으로 주 득점원이 발목이 부러졌습니다."
,"People liked the effect of the drug, and to make matters worse, doctors often prescribed doses that were too high.","사람들은 그 약의 효과를 좋아했고, 설상가상으로 의사들은 종종 너무 높은 복용량을 처방하기도 했습니다."
,"The city's population is growing rapidly. To make matters worse, half of our nurses are due to retire in the next fifteen years.",도시의 인구는 빠르게 증가하고 있습니다. 설상가상으로 우리 간호사의 절반이 향후 15년 안에 은퇴할 예정입니다.
,"Crop yields have fallen and to make matters worse, drought has dried up many water sources.",작물 수확량이 감소했고 설상가상으로 가뭄으로 인해 많은 수원이 말라버렸습니다.
,"Her children are at loggerheads with one another. To make matters worse, her best friend has moved to another part of the country.",그녀의 아이들은 서로 논쟁을 벌이고 있습니다. 설상가상으로 그녀의 가장 친한 친구가 다른 지역으로 이사했습니다.
,A bird in the hand is worth two in the bush.,남의 돈 천냥이 내 돈 한푼만 못하다.
,A bolt from the blue,청천 벽력 같이
,"But world war came out of nowhere, like a bolt from the blue.","하지만 난데없이, 흡사 청천 벽력같이 세계 대전이 터지고 말았어요."
,"Then, like a bolt from the blue, a letter dated June 26, 1986, came from the chief of security, saying that all missionaries must leave the country.",그러다가 청천벽력 같은 일이 일어났습니다. 보안 국장에게서 온 1986년 6월 26일자 편지에 모든 선교인들이 이 나라를 떠나야 한다고 되어 있는 것이었습니다.
,A bunch of fives,주먹 한방
,A chain is only as strong as its weakest link.,아무리 강하고 훌륭해도 구성원 한 명 때문에 전체의 노력이 헛되이 되거나 실패 할 수도 있다.
,It is well known among security experts that passwords are the weakest link in cybersecurity.,"보안전문가들에게 잘 알려진 사실이지만, 패스워드가 사이버보안에 있어 가장 취약한 부분이다."
,"Phishing has grown into a sophisticated form of cyber crime, and email has become the weakest link.","피싱은 점점 정교한 형태의 사이버 범죄로 성장해 왔고, 이메일은 가장 취약한 부분이 되어버렸다."
,"You are the weakest link, goodbye!","너가 구멍이다, 잘가라!"
,I think that is just missing the point by a country mile.,핵심에서 완전히 벗어난 것 같다.
,You are better than Jonh at English by a country mile.,너는 존보다 영어에서 훨씬 더 뛰어나다.
,It was a quite easy to notive that he was a diamond in the rough.,딱 봐도 걔는 긁지 않은 복권인거 알겠더라.
,He admired the beauty of nature in the rough.,그는 자연 그대로의 아름다움에 감탄했다.
,She's a fine person in the rough.,그녀는 긁지 않은 복권이야.
,"Look at his chin and eyes. He's a bit of fat though, I'm pretty sure he's a diamond in the rough.","쟤 턱이랑 눈 좀 보라니까. 뚱뚱하긴 해도, 긁지 않은 복권이야."
,A different kettle of fish,별개사항
,"You may have a good voice, but being able to sing a song on the stage is a different kettle of fish.","당신이 좋은 목소리를 가졌는지는 모르지만, 무대에서 노래하는 것은 별개의 문제에요."
,I loved the first film but the sequel is a different kettle of fish.,난 첫번째 영화는 좋았지만 속편은 별개였어.
,"playing call of duty and going to war is not the same kettle of fish, buddy. A real live fire situation is very different from a video game.",야 콜오브듀티 전쟁 게임 하는 거랑 진짜 전쟁에 나가는 거랑은 완전 다른 별개의 문제라고. 진짜 상황은 완전히 달라.
,It was a dish fit for the gods.,그건 정말 최고 였어요.
,She is such a wonderful cook. The cakes that she bakes are dish fit for the gods!,그녀는 진짜 최고의 요리사야. 그녀가 만든 케이크는 정말 최고 였어.
,I had this amazing Chinese soup at a restaurant. It was a dish fit for the gods.,레스토랑에서 진짜 맛있는 중국 스프 먹었어. 진짜 너무 맛있었어. 
,One million won is just a drop in the bucket to him.  ,그 사람에게 백만원은 새 발의 피다.
,His work would be but a drop in the bucket.,그가 한 일은 새발의 피이다.
,"Compared to the problem in general, it's a drop in the bucket.",전반적인 실업 문제에 비춰 볼 때 이는 새발의 피에 불과합니다.
,It is only a drop in the bucket.,이것은 극히 일부분에 불과하다.
,That is a drop in the bucket for such an important issue.,그러나 그건 그러한 중요한 주제에 비하면 새발의 피이다.
,We've had a lot of trauma in the last six months so this is a drop in the bucket.,우리는 지난 6개월간 정신적 충격을 많이 받아서 이건 새발의 피에 불과하다.
,Barry knew that losing a few pounds was only a drop in the bucket.,Barry는 몇 파운드를 빼는것이 극히 일부분에 불과하다는 것을 안다.
,government spending is a drop in the bucket compared to what is needed.,그러나 정부지출은 필요한 것에 비해 빙산의 일각이다.
,Why does it matter if I toss this plastic wrapper out the window? I'm just a drop in the bucket.,내가 이 비닐 포장지를 창 밖에 버린들 뭐 어떻겠어? 나 하나 쯤이야.
,The truth is that whatever we do is a drop in the bucket.,"그 진실은, 우리가 하는 모든것이 빙산의 일간이라는 것이다."
,He knew that losing a few pounds was only a drop in the bucket.,그는 몇 파운드를 빼는것이 극히 일부분에 불과하다는 것을 안다.
,The death of a princess seems a drop in the bucket.,공주의 죽음은 아무렇지도 않은 것 처럼 보였다.
,"What we do is less than a drop in the ocean. But if it were missing, the ocean would lacksomething.",우리가 하는 일은 새발의 피보다도 하찮은 것이다. 하지만 그 한 방울이 없다면 바다는 그만큼 줄어들 것이다.
,"Compared to what we don't know, our knowledge of marine life is a proverbial drop in the bucket.","우리가 모르는 것에 비하면, 우리가 해양 생물에 대해 알고 있는 것은 속담에 나온 것처럼 새발의 피에 불과하다."
,"Ruth scored the last goal for her team, adding a feather in her cap.","루스는 팀을 위해 마지막 골을 넣었고, 그의 성과가 하나가 더 추가되었다."
,He will have one more feather in his cap after he has finished this incredibly difficult assignment.,그는 이 믿을 수 없을 정도로 어려운 과제를 끝낸 후에 그의 성과를 하나 더 추가 하게 될 것이다.
,They can claim this feather in their cap since it was this group of soldiers who withstood the enemy in such harsh conditions.,"적을 저항한 것은 이 군인들의 집단 이었기 때문에, 그들은 그들의 성과를 주장 할 수 있다."
,One does not get chances to add a feather in their cap too often. So the opportunity to do so should be utilized well.,성과를 추가할 기회가 매우 자주 주어지는 것이 아닙니다. 그래서 그렇게 할 수 있는 기회를 잘 활용해야 합니다.
,The company was bound to be closed sooner or later considering the kind of mangers that they had hired. A fish rots from the head down after all.,회사는 조만간 문을 닫거나 그들이 고용했던 매니저를 생각해 볼 수 밖에 없었다. 윗 물이 맑아야 아랫 물이 맑다.
,"A leader has to be of a strong will and good character otherwise as it is said, the fish rots from the head down. The whole organization would then have to suffer because of it.",리더는 의지가 강하고 인품이 좋아야 한다 그렇지 않으면 윗 물이 맑아야 아랫 물이 맑다는 말이 있다. 그러면 조직 전체가 그로 인해 고통을 겪게 될 것이다.
,"His maid servant doesn't do anything as asked for. But the fish rots from the head down, look at how unorganized his own life is.","그의 하녀는 시키는 것 어떤 것도 하지 않습니다. 그런데 윗 물이 맑아야 아랫 물이 맑듯이, 그 자신의 삶이 얼마나 체계적이지 못한지 보세요."
,A fish rots from the head down.,윗물이 맑아야 아랫물이 맑다
,"Our new teacher looked like a fish out of the water, nobody was aware of the issue.","우리의 새로운 선생님은 어색해보였는데, 아무도 그 것을 알아 차리지 못했다."
,We had no clue how to make Phil comfortable with the new management. He was looking like a fish out of the water.,우리는 필이 새로운 경영진에 익숙해지도록 하는 방법을 전혀 몰랐습니다. 그는 어색해보였습니다.
,"Sara has certainly not looked like a fish out of water in the mathematics lecture, since she is taking some online classes to improve her concepts.",사라는 자신의 개념을 향상시키기 위해 온라인 수업을 듣고 있기 때문에 그 수학 강의에서 전혀 어색함이 보이지 않았습니다.
,"Martin had never been to a supermarket before, so he was looking like a fish out of water when his mother asked him to bring some stuff to cook.",마틴은 이전에 슈퍼마켓에 가본 적이 없었기 때문에 어머니가 그에게 요리할 물건을 가져오라고 했을 때 그는 마치 물 밖으로 나온 물고기처럼 매우 어색해 보였습니다.
,"When Danny first moved to the big city from the countryside, he was like a fish out of water.","처음 대니가 시골에서 큰 도시로 이사왔을때, 그는 어색해했다."
,The fly in the ointment was that the proposal still needed board approval.,그 제안은 여전히 이사회의 승인을 필요로 한다는 점이 옥의 티 였다.
,There was just one fly in the ointment: filling the key management position.,작은 걸림돌이 있었다: 핵심 관리 자리를 치우는 것입니다.
,The agreement had a fly in the ointment relating to intellectual property rights.,이 계약에는 지적재산권과 관련된 문제가 있었습니다.
,The strike was going smoothly until the fly in the ointment emerged which wage disputes with some union members.,파업은 일부 노조원들과 임금 분쟁에 관한 문제가 나타날 때까지 순조롭게 진행됐다.
,The vacation was wonderful except for one fly in the ointment: the resort had run out of our favorite drink.,휴가는 옥의 티 한가지를 제외하고 아주 훌륭했습니다.
,The fly in the ointment was that they had failed to consider regulatory requirements.,옥에 티는 규제 요구 사항을 전혀 고려하지 못햇다는 것 입니다.
,Politics as usual had thrown a fly in the ointment by blocking progress on the reforms.,여느 때와 마찬가지로 정치는 개혁의 진전을 방해함으로써 문제를 던졌습니다.
,High costs were the only fly in the ointment for the otherwise promising new technology.,높은 비용은 유망한 신기술에 대한 유일한 옥에 티 였습니다.
,find a fly in the ointment!,옥에 티를 찾아보자!
,That's only a fly in the ointment.,유일한 옥의 티라고는 이것 뿐이다.
,He can bve quite a fly in the ointment.,그가 상당한 옥에 티가 될 수 있겠어.
,"Everything was perfect, but her personality was a fly in the ointment.","그녀의 모든 게 완벽 했지만, 성격이 옥의 티였다."
,"When John bought a cheap used car that fell apart the next day, he said, “Oh, well, a fool and his money are soon parted.”발음듣기","존은 싸구려 중고차를 산 그 다음날 차가 고장났을때, “아아, 어리석은 자일수록 금방 돈을 잃는 건가” 하고 말했다."
,A fool and his money are soon parted.,어리석은 이는 돈을 가지지 못하는 법이다.
,Woody was cheated several times in his lifetime since a fool and his money are easily parted.,어리석은 자일수록 금방 돈을 잃기 때문에 우디는 일생 동안 여러 번 사기를 당했습니다.
,She gave up her entire estate on the basis of a verbal promise. A fool and his money are indeed easily parted.,그녀는 구두로 한 약속을 바탕으로 자신의 재산 전체를 포기했습니다. 어리 석은 자 일수록 쉽게 돈을 읽기 마련이다.
,A fool and his money are soon parted.,어리석은 이는 돈을 오래 가지고 있지 못한다.
,The money was never going to be deposited by him. He kept promising her and let her stay in that fool's paradise for way too long.,그 돈은 결코 그에게 입금되지 않을 것입니다. 그는 계속해서 그녀에게 약속했고 그녀를 거짓된 행복에 너무 오랫동안 머물게 했습니다.
,You must be in a fool's paradise if you think that it will rain at the time of such hot summers.,이렇게 무더운 여름에 비가 올 것이라고 생각한다면 그야말로 헛된 행복에 있는 셈이다.
,No woman should be kept in a fool's paradise by promising her of marriage when one does not intend to.,어떤 여성도 의도하지 않은 결혼을 약속함으로써 거짓된 행복에 갇혀서는 안 됩니다.
,It is wrong to make promise when you do not want to keep it. Another person stays in a fool's paradise for as long as he believes you.,지키고 싶지 않은 약속을 하는 것은 잘못된 것입니다. 다른 사람이 당신을 믿는 한 헛된 행복에 머물러 있습니다.
,Realize reality and stop living in a fool's paradise.,환상의 세계에 그만 살고 현실을 깨달으세요.
,"Winning the lottery is a fool's paradise, to be honest.",복권에 당첨되는건 솔직히 헛된 행복이죠.
,She always dreams about making a huge fortune overnight and lives in a fool's paradise.,그녀는 하룻밤에 거액을 버는 꿈에 대해 늘 생각하며 환상속에 살고 있다.
,"And for the first time, they gave women a foot in the door of science.",그리고 그들은 처음으로 여성들에게 과학의 문을 열었습니다.
,Mary was so excited to get her foot in the door with her new internship.,마리는 새로운 인턴십을 시작하게 되어 매우 기뻤습니다.
,"I feel like college was a new start for me, and I got my foot in the door of being an adult.","대학은 나에게 새로운 시작이었고, 어른이 되는 문에 발을 디딘 것 같았습니다."
,"They're hiring a select group of people, so you should seek your chance to get your foot in the door.",그들은 엄선된 그룹의 사람들을 고용하고 있으므로 문에 발을 들여놓을 기회를 찾아야 합니다.
,The start of getting your foot in the door is through entry-level work.,문에 발을 들여놓는 시작은 초급 작업부터입니다.
,"Now that I have my degree, I can start getting my foot in the door.",이제 학위를 받았으니 문에 발을 들여 놓을 수 있습니다.
,Max knew his daughter was growing up when she got a job and finally had her foot in the door.,맥스는 딸이 직업을 얻었을 때 성장하고 있다는 것을 알았고 마침내 문에 발을 들여 놓았습니다.
,"In order to become a lead director, you'll have to get your foot in the door first.",수석 디렉터가 되려면 먼저 문에 발을 들여놓아야 합니다.
,"After working in retail for so long, James decided it was time to get his foot in the door for his career.",오랫동안 소매업에 종사한 제임스는 이제 자신의 경력을 쌓기 위해 발을 들여놓을 때라고 결정했습니다.
,"I know it's not the job you'd hoped for, but at least you can use it to get your foot in the door.",나는 그것이 당신이 바라던 직업이 아니라는 것을 알고 있지만 적어도 당신이 문에 발을 들이는 데 그것을 사용할 수 있습니다.
,A friend in need is a friend indeed.,어려울 때 친구가 진정한 친구다.
,"He stayed with me throughout the time I was in the hospital, a friend in need is a friend indeed!",제가 병원에 있는 동안 내내 저와 함께 계셨습니다. 어려울 때 친구가 진정한 친구입니다.
,I always try to work out a way for my friends' problems. A friend in need is a friend in deed.,나는 항상 친구들의 문제를 해결하려고 노력합니다. 어려울 때 함께 하는 친구가 진정한 친구입니다.
,"I'll always remember your help, dude. A friend in need is a friend in deed.","네 도움을 늘 기억할게, 친구. 어려울 때 친구가 진짜 친구지."
,"Whom do you call a real friend? A friend in need is a friend in deed, but not like you.","너는 어떤 사람을 진짜 친구라고 생각해? 어려울 때 돕는 친구가 진정한 친구지, 너 같은 친구 말고."
,Rebecca helped her best friend Sally in all ups and downs and this is the perfect example of saying “a friend in need is a friend in deed“.,"레베카는 그녀의 가장 친한 친구인 셀리를 모든 우여곡절에서 도왔습니다. 이것은 ""어려울 때 돕는 친구가 진정한 친구""라고 말하는 완벽한 예입니다."
,A house divided against itself cannot stand.,한 집안이 서로 분열하면 망하게 된다.
,There is a Chinese saying that a journey of a thousand miles begins with a single step.,천리 길도 한 걸음부터라는 중국의 속담이 있습니다.
,The workers will need to form a union because a house divided against itself cannot stand.,노동자들은 노동조합을 결성해야 할 것이다. 왜냐하면 한 집안이 서로 분열하면 망하게 되기 때문이다.
,All the aggrieved parties will file a law suit together since a house divided against itself cannot stand.,"한 집안이 서로 분열하면 망하게 되기 때문에, 피해를 입은 당사자들이 모두 함께 소송을 제기할 것입니다."
,It is best to go to the principal together since a house divided against itself cannot stand.,한 집안이 서로 분열하면 망하게 되기 때문에 함께 본당에 가는 것이 가장 좋습니다.
,A journey of a thousand miles begins with a single step.,천 리 길도 한 걸음부터.
,Thank you so much for fixing my flat tire. You are a knight in shining armour.,타이어 터진 거 고쳐줘서 정말 고마워. 넌 나의 구세주야.
,You saved me from having to talk to that tedious woman. You are my knight in shining armour.,내가 그 지루한 여자와 이야기 하지 않아도 되도록 구해줬어요. 너는 나의 구세주에요.
,John is like a knight in shining armour to Jane since he paid her credit card bills.,존은 제인의 신용카드 대금을 지불한 이후로 제인에게 구세주가 된 것이 다름 없어요.
,Don't try to be a knight in shining armour you can't save that drowning dog into the raging river.,구세주가 되려고 하지 마세요. 거친 강물에 빠져 죽어가는 개를 구할 수는 없어요.
,She was about to fall from the cliff when Carl saved her life like a knight on a white charger.,그녀는 절벽에서 떨어지려던 순간 칼이 구세주 처럼 목숨을 구했습니다.
,A leopard cannot change its spots.,제 버릇 개 못 주는 법
